H. Moukoudi,20,France,70,RCB
C. Mandanne,33,France,70,LS
H. Takimoto,21,Japan,58,GK
K. Bülow,32,Germany,66,LDM
P. Herrmann,30,Germany,66,RB
William,23,Brazil,74,RB
V. Retamal,20,Chile,66,RB
Wagner Orsinho,30,Brazil,71,LB
J. Samuelsen,33,Norway,67,RCM
R. Koczor,29,Germany,62,GK
M. Bourabia,26,Morocco,71,RCM
F. Müller,20,Germany,69,GK
J. García,31,Argentina,70,GK
D. Mungo,25,Italy,65,RDM
K. Gordon,20,England,57,RM
J. Deumeland,30,Germany,65,GK
T. Matsumoto,19,Japan,58,CM
David Simão,28,Portugal,74,LCM
L. Advíncula,28,Peru,74,RB
I. Bebou,24,Togo,76,RM
C. Führich,20,Germany,63,CM
G. Kostadinov,27,Bulgaria,56,LDM
G. Buffon,40,Italy,88,GK
B. Rienstra,28,Netherlands,71,RDM
H. Hermannsson,23,Iceland,69,CB
E. Upson,28,England,65,CM
I. Cissé,24,Guinea,68,CDM
E. Çolak,27,Turkey,77,CAM
Ontiveros,20,Spain,72,RM
A. Damlu,18,Turkey,54,GK
R. Husić,22,Germany,60,GK
M. Najjar,23,Saudi Arabia,57,CM
J. Muñoz,27,Chile,63,GK
J. Bourdouxhe,27,Belgium,64,LB
A. Bouzat,24,Argentina,72,RW
S. Heil,19,Germany,53,CB
R. Ramírez,21,Argentina,65,GK
A. Seculin,27,Italy,70,GK
Adrián,22,Spain,60,GK
A. Calisir,28,Sweden,67,CB
R. Noda,29,Japan,57,RM
J. Maddison,21,England,77,CAM
M. Rodriguez,27,Uruguay,71,CAM
T. Kane,24,England,68,RB
Guridi,23,Spain,65,CM
B. Şen,19,Turkey,60,GK
J. Rhyner,22,Switzerland,65,CB
L. Wallace,30,Scotland,69,LB
S. Twine,18,England,51,ST
Aarón Martín,21,Spain,77,LB
Wilson Eduardo,27,Portugal,77,RS
D. Nasu,36,Japan,59,CB
Brian Oliván,24,Spain,69,LB
R. Pereyra,27,Argentina,80,LM
S. Floccari,36,Italy,74,ST
A. Cadavid,32,Colombia,71,RCB
D. Johnson,25,England,60,LS
L. Klemenz,22,Poland,58,CB
F. Honorat,21,France,69,RM
Ícaro,29,Brazil,67,RCB
F. N'Sakala,27,DR Congo,69,LB
G. Maluleka,29,South Africa,69,CM
A. Baptiste,32,England,68,CB
D. Orlishausen,35,Germany,61,GK
L. Kozák,29,Czech Republic,67,ST
A. Musa,25,Nigeria,75,LM
B. Aouacheria,24,France,70,RW
S. El Shaarawy,25,Italy,81,LM
João Pereira,28,Portugal,62,LB
F. Varela,22,Argentina,66,CAM
R. Lundqvist,21,Sweden,66,CAM
L. Dubois,23,France,77,RB
C. Schneuwly,30,Switzerland,69,CAM
Ximo Miralles,22,Spain,60,GK
Xeka,23,Portugal,73,LDM
M. Sætra,21,Norway,58,GK
D. Hediger,31,Switzerland,68,CDM
J. Guidetti,26,Sweden,78,LS
J. Cordoval,28,France,69,RB
S. Calvano,24,Italy,65,CM
Qi Tianyu,25,China PR,60,CDM
D. Parrett,26,England,63,CM
N. Holland,20,England,62,LM
M. Rauschenberg,26,Denmark,60,CB
C. Peters,19,England,55,ST
J. Kucka,31,Slovakia,77,CM
M. Caruzzo,33,Argentina,75,RCB
Pol Lirola,20,Spain,74,RM
C. Núñez,20,Paraguay,56,CDM
W. Hajda,18,Poland,60,CDM
Rúben Vinagre,19,Portugal,66,LWB
P. Omochere,17,Republic of Ireland,50,RM
D. Rodríguez,23,Colombia,70,ST
L. Vido,21,Italy,68,RS
S. Gleeson,29,Republic of Ireland,68,CDM
S. Bastien,21,Belgium,72,CAM
B. Maher,17,Republic of Ireland,55,GK
J. De Smet,19,Belgium,57,GK
I. Kutepov,24,Russia,74,RCB
A. Chedjou,33,Cameroon,74,RCB
M. Ranmark,22,Norway,57,GK
T. Adarabioyo,20,England,66,CB
C. Ramos,29,Peru,70,LCB
A. Turgeman,27,Israel,68,ST
T. Rehfeldt,24,Germany,65,CB
P. Kühn,25,Germany,60,GK
Eddy Francis,27,China PR,64,LCB
N. Mushekwi,30,Zimbabwe,72,ST
B. Jayiya,28,South Africa,66,RW
S. McLoughlin,21,Republic of Ireland,60,LCB
Yan Peng,23,China PR,57,ST
J. Hobbs,29,England,69,RCB
Lee Seung Gi,30,Korea Republic,70,CM
R. Zozulya,28,Ukraine,71,ST
C. Sickinger,20,Germany,56,CDM
B. Garré,17,Argentina,60,LW
C. Tiffert,36,Germany,70,CB
Rafinha,32,Brazil,76,RB
N. Lüchinger,23,Switzerland,59,RB
Wei Shihao,23,China PR,70,RM
J. Thomasen,22,Denmark,64,CM
Rogério,20,Brazil,70,LM
F. Holst,23,Denmark,66,RB
J. Castillo,23,Mexico,63,GK
K. McLean,26,Scotland,71,CM
I. Diallo,21,Mali,63,CB
J. Kembo-Ekoko,30,DR Congo,74,RW
Mario Ortíz,29,Spain,68,LCM
G. Castro,31,Germany,77,CM
Nuno André Coelho,32,Portugal,70,CB
D. Dumić,26,Bosnia Herzegovina,71,CB
S. Vasiliadis,20,Germany,66,CAM
S. Hain,29,Germany,69,RS
Fepe Avedo,30,Brazil,67,GK
G. Buon,20,France,58,CB
M. Bjärsmyr,32,Sweden,71,RCB
K. Moriya,29,Japan,66,CDM
T. Adams,19,United States,72,RCM
O. Rivero,26,Uruguay,72,ST
K. Burger,23,Germany,63,LB
M. Burgess,23,Australia,60,CAM
V. Cordoba,30,Colombia,58,CDM
R. Bauer,23,Germany,72,RB
N. Kilkenny,32,Australia,68,LDM
M. Dúbravka,29,Slovakia,78,GK
P. Mullins,26,United States,67,ST
J. Farfán,33,Peru,79,CAM
T. Miller,25,United States,67,GK
N. Baeza,21,Chile,58,LB
J. Leca,32,France,74,GK
V. Theocharis,19,Greece,60,CM
Y. Ito,24,Japan,64,RB
I. Cissé,22,France,62,CB
V. Cáceres,33,Paraguay,75,RDM
D. Gyollai,21,Hungary,61,GK
A. Balzano,32,Italy,69,RB
N. Bazan,19,Argentina,59,ST
Flávio Triginho,34,Brazil,66,ST
O. Deschacht,37,Belgium,71,LCB
D. Sterling,18,England,62,RB
J. Maclaren,24,Australia,70,ST
C. Avevor,26,Germany,70,LCB
C. Nkunku,20,France,76,CM
E. Ferigra,19,Ecuador,59,CB
M. Kamekawa,25,Japan,61,LB
D. Rasak,22,Poland,60,CDM
J. Mackie,32,Scotland,66,ST
Aleix García,21,Spain,70,CM
L. McGee,22,England,64,GK
A. Silva Quiroga,25,Uruguay,62,RB
N. Matić,29,Serbia,84,CDM
D. Mottley-Henry,20,England,57,RM
L. Butroid,19,England,54,LB
M. Veloso,26,Switzerland,62,RM
I. Cardona,20,France,69,ST
C. Roberts,21,England,61,RM
M. Nyatama,30,South Africa,71,RCM
Ricardo Nunes,32,South Africa,68,LB
J. Piggott,19,England,53,ST
T. Marsh,24,England,59,LW
W. Parra,23,Colombia,60,RCM
S. Rasswalder,31,Austria,62,LB
Zhu Jianrong,26,China PR,64,ST
Juli Morrinhos,30,Brazil,64,CAM
L. Baines,19,England,52,CB
René,34,Spain,72,GK
C. Sabaly,19,Senegal,62,LM
V. Coufal,25,Czech Republic,73,RB
A. Semprini,20,Italy,62,
D. Kreilach,29,Croatia,74,ST
Anselmo,29,Brazil,74,RDM
M. Hongla,20,Cameroon,62,CB
W. Droste,29,Netherlands,68,RB
M. Kirkeskov,26,Denmark,64,LB
J. Wallace,26,England,61,CM
J. Żubrowski,26,Poland,66,LDM
Pedro Trigueira,30,Portugal,67,GK
T. Ben Haim,28,Israel,72,LM
M. Bešić,25,Bosnia Herzegovina,74,LCM
N. De la Cruz,21,Uruguay,72,CAM
K. Høgh,17,Denmark,52,ST
Choi Chul Soon,31,Korea Republic,72,LB
J. Branger-Engone,24,Gabon,62,RM
S. Bamba,33,Ivory Coast,75,LCB
R. Jarstein,33,Norway,83,GK
N. Al Harthi,19,Saudi Arabia,56,RM
P. Forsell,27,Finland,69,RF
J. Campbell,26,Costa Rica,76,LF
J. Ardaiz,19,Uruguay,69,ST
F. Baptiste,18,England,56,ST
H. Medunjanin,33,Bosnia Herzegovina,75,LDM
D. Conroy,22,England,57,CB
D. Kownacki,21,Poland,70,ST
Hwang Hyun Soo,22,Korea Republic,68,CB
B. Murphy,33,Republic of Ireland,59,GK
D. Tarasov,31,Russia,75,CDM
V. Janjičić,19,Switzerland,66,CDM
A. Read,18,England,51,LM
P. Yrizar,20,Mexico,63,ST
P. Tau,24,South Africa,75,RW
D. Barinov,21,Russia,66,CDM
D. Zúñiga,21,Chile,67,LB
Óscar Gil,20,Spain,59,RB
S. Tronstad,22,Norway,65,RCM
Hong Hyeon Seok,19,Korea Republic,50,CM
S. Phillips,40,England,52,GK
O. Adın,32,Turkey,70,RM
S. Tarashaj,23,Switzerland,68,CAM
F. Okenabirhie,22,Nigeria,61,LS
Francisco Geraldes,23,Portugal,76,CAM
J. Cavalli,36,France,71,CAM
T. Arndal,20,Denmark,57,LM
B. Traoré,22,Burkina Faso,78,RM
J. Huth,24,Germany,69,GK
T. Amos,20,Sweden,55,GK
C. Ramirez,27,United States,70,ST
C. Monschein,25,Austria,67,LM
C. Tanor,20,Ghana,54,CM
Nacho Vidal,23,Spain,71,RB
Sandelas Júnior,26,Brazil,72,LDM
N. Leyes,28,Argentina,70,CDM
Algobia,19,Spain,60,CM
M. Clayton,23,England,62,ST
Vieirundinho,30,Brazil,77,RCB
N. Stephan,17,Germany,49,GK
Carlos Ruiz,34,Spain,69,CB
G. O'Neil,35,England,67,CDM
J. Hamad,27,Sweden,72,LM
M. Silva,29,Uruguay,70,RCB
K. van Veen,27,Netherlands,65,LS
Yang Dong Hyen,32,Korea Republic,65,ST
B. Folami,19,Australia,57,ST
L. Simpson,23,England,52,GK
M. Sopoćko,19,Poland,56,CAM
P. Beruatto,19,Italy,62,LB
Joãozinho,28,Portugal,69,LB
C. Miller,20,Scotland,60,LM
C. Jakobsen,25,Denmark,66,LM
J. Husband,24,England,65,LB
J. Mäder,21,Germany,61,RM
V. Cabezas,20,Colombia,60,GK
T. Figueroa,19,Mexico,64,LW
Munir,22,Spain,77,ST
Maikel Santana,26,Spain,59,LB
K. Sekiguchi,32,Japan,61,LM
P. Da Silva,19,United States,61,CAM
B. Kavanagh,17,Republic of Ireland,57,LM
G. Konan,22,Ivory Coast,75,LB
H. Faik,26,Netherlands,70,CM
J. Stanic,19,Croatia,59,CB
E. Vertainen,19,Finland,54,CM
Tang Miao,27,China PR,69,RB
A. Balanta,18,Colombia,60,CDM
J. Eggestein,20,Germany,67,RW
M. Forss,19,Finland,61,ST
H. Çalhanoğlu,24,Turkey,80,CAM
J. Hayes,23,United States,64,CM
S. Breitkreuz,26,Germany,69,CB
S. Koroki,31,Japan,72,LS
L. Cook,21,England,77,CM
E. Kujović,30,Sweden,67,ST
N. Bendtner,30,Denmark,72,ST
C. Martins Pereira,21,Luxembourg,66,LDM
O. Björtuft,19,Norway,52,CB
Kahraba,24,Egypt,74,LM
S. Brandstetter,28,Germany,66,ST
J. Orellana,21,Argentina,58,CB
E. O'Kane,27,Republic of Ireland,68,CDM
P. Capelle,31,France,75,LWB
N. Katić,21,Croatia,71,CB
A. Erdem,29,Turkey,69,LB
J. Lalrinzuala,19,India,56,LB
J. Mendive,21,Argentina,60,GK
P. Keita,26,Senegal,64,CDM
L. Caicedo,22,Colombia,67,RDM
J. Jensen,32,Denmark,57,GK
R. Boultam,20,Netherlands,60,CM
Dani Ceballos,21,Spain,81,LCM
J. Ockford,26,United States,64,CB
T. Ivanof,20,Belgium,60,CAM
R. Sallinger,22,Austria,60,GK
Aurélio Buta,21,Portugal,71,RB
F. Marković,26,Serbia,64,RM
T. Bergmann,21,Germany,66,CDM
B. Brereton,19,England,68,ST
C. Wighton,20,Scotland,64,ST
M. Madri,28,France,63,ST
R. Snodgrass,30,Scotland,76,RM
S. Slocombe,30,England,62,GK
T. Majrashi,27,Saudi Arabia,62,RM
Y. Otto,19,Germany,57,ST
B. Kamara,21,France,71,GK
M. Higashiguchi,32,Japan,72,GK
T. Ndenge,21,Germany,65,CDM
M. Koné,21,Senegal,66,ST
E. Banda,20,Zambia,64,CAM
T. Alarcón,18,Chile,61,CB
C. Sibbald,23,Scotland,62,CAM
A. May,24,England,61,ST
A. Ocejo,20,Mexico,53,LM
W. Suwayyid,30,Saudi Arabia,63,LB
B. Dost,29,Netherlands,83,ST
N. Stefanelli,24,Argentina,67,ST
K. Kumor,18,Poland,54,RM
Wu Lei,21,China PR,48,LDM
Cordero,23,Spain,61,GK
Paulinho,23,Brazil,75,LCM
J. Brix-Damborg,32,Denmark,69,RCM
C. Erkin,29,Turkey,76,LB
T. Mokoena,21,South Africa,64,CM
J. Bidwell,25,England,69,LB
J. Corrales,27,Cuba,63,LB
F. Ghoulam,27,Algeria,81,LB
S. Pollock,17,England,51,CM
R. Sambueza,34,Argentina,77,RM
S. Neville,29,Australia,64,RB
R. Borré,22,Colombia,75,RS
K. Westwood,33,Republic of Ireland,73,GK
C. Moritz,28,Germany,71,CM
E. Derdiyok,30,Switzerland,73,ST
G. Francomb,26,England,64,RM
N. Frey,34,France,69,RB
E. Bajrami,30,Sweden,62,RM
N. Jambor,22,Croatia,64,CM
N. Blandi,28,Argentina,76,ST
J. Jacobson,31,Wales,66,LB
G. Hatano,20,Japan,61,GK
S. Slavchev,24,Bulgaria,68,RDM
M. Berden,20,Netherlands,60,RW
M. Molina,18,Argentina,60,ST
G. Bizzotto,21,Italy,60,CF
M. Grella,31,United States,66,LM
A. Cragno,24,Italy,78,GK
G. Morrissey,26,Republic of Ireland,65,LDM
Carlos Blanco,22,Spain,66,CB
Quaresma,34,Portugal,84,RM
D. Eckert,21,Germany,64,ST
L. Italiano,27,Australia,58,GK
Hernáiz,20,Spain,62,
A. Siemaszko,21,Poland,59,ST
M. O'Connor,22,Republic of Ireland,53,GK
Oier,28,Spain,75,GK
E. Vega,28,Ecuador,67,CDM
J. Abarzua,26,Chile,60,CM
N. Awuku,18,Germany,58,ST
R. Sufyani,31,Saudi Arabia,65,RM
H. Mier,28,Mexico,68,RCB
A. Mendoza,24,Mexico,67,LB
Ryang Yong Gi,36,Korea DPR,58,CF
G. Bojanich,33,Argentina,69,LCB
N. Powell,24,England,72,CAM
F. Abo Bakr,21,Saudi Arabia,56,CB
R. Senhadji,21,France,57,CB
M. Jiménez,28,Mexico,67,GK
A. Stoian,27,Romania,70,LM
B. Avramovic,20,Serbia,57,LB
M. Jeahze,21,Sweden,58,LB
B. Watson,32,England,69,CDM
D. Steres,27,United States,67,RCB
C. Clements,28,England,62,CM
N. Crovetto,32,Chile,66,LB
D. Rowe,26,England,67,RM
O. Ejaria,20,England,69,RCM
A. Camigliano,23,Italy,64,CB
D. Pollet,29,Belgium,68,ST
K. Laribi,27,Tunisia,70,LCM
A. Correa,24,Colombia,68,LB
A. Ibargüen,26,Colombia,75,LM
E. Dahl Reitan,20,Norway,60,RB
A. Souquet,26,France,76,RB
A. Chapman,28,England,63,GK
D. Vera,33,Uruguay,73,ST
P. Plewka,18,Poland,54,CDM
H. Kekana,33,South Africa,69,CDM
L. Pintor,17,France,62,ST
S. Kitsiou,24,Greece,70,RB
N. Wells,28,Bermuda,70,ST
J. Cejas,20,Argentina,62,CAM
Yang Fan,22,China PR,56,RB
E. Nolan,29,Republic of Ireland,61,CB
Aitor García,24,Spain,70,LS
M. Jørgensen,17,Denmark,58,ST
J. Inamoto,38,Japan,58,CDM
D. van Mieghem,28,Netherlands,69,RS
W. Omsberg,22,United States,62,CB
A. Masiello,32,Italy,79,CB
Baek Dong Gyu,27,Korea Republic,61,RCB
Carbonell,20,Spain,67,CM
M. Haas,22,Austria,63,LB
B. Holman,34,Australia,69,CAM
Josep Martínez,20,Spain,62,GK
P. Retre,25,Australia,62,RM
Y. Misao,27,Japan,62,CB
A. González,30,Uruguay,67,RCB
A. Kigbu,19,England,55,CB
D. Bertrand,25,France,63,LM
Y. Thermann,24,Germany,63,RB
J. Berthomier,28,France,70,LM
L. Montes,32,Mexico,72,CAM
S. Laird,30,England,63,LB
M. McKenzie,19,United States,65,RCB
Etxeberría,23,Spain,68,RB
A. Buongiorno,19,Italy,60,LB
J. Proctor,26,England,64,ST
Cafú,25,Portugal,71,RDM
Gui Hong,23,China PR,58,ST
S. Longo,26,Italy,72,ST
C. Sánchez,32,Colombia,77,CDM
M. Gómez,24,Colombia,69,LM
M. Al Amri,26,Saudi Arabia,62,
A. Nkaka,22,Belgium,67,LDM
D. Arias,33,Colombia,72,CDM
A. Leitch-Smith,28,England,63,CAM
A. Petre,20,Romania,64,ST
G. Piras,19,Italy,55,CB
Willy,29,Spain,64,ST
T. Jodłowiec,32,Poland,69,CAM
W. Vainqueur,29,France,76,CDM
C. Ansaldi,31,Argentina,78,LM
A. Chahechouhe,31,Morocco,74,LM
S. Özcan,20,Germany,70,CM
S. Kurt,21,Germany,62,LM
M. Rasner,23,Austria,63,LM
G. Iñíguez,24,Argentina,67,CM
A. Koita,19,Belgium,65,LW
Javi Pérez,22,Spain,60,CM
A. Gómez,30,Argentina,84,LS
Mariano,24,Dominican Republic,80,ST
A. Giannou,28,Australia,69,ST
G. Vrioni,19,Italy,60,ST
J. Lefort,24,France,69,LB
F. Jara,29,Argentina,74,ST
Toño García,28,Spain,76,LM
F. Arhin,19,Ghana,59,CAM
T. Nydam,18,England,64,CM
M. Døhr Thychosen,21,Denmark,66,RWB
S. Fujita,31,Japan,65,RM
D. Dos Santos,21,Netherlands,68,LW
Oh Se Hun,19,Korea Republic,61,ST
L. Jonsson,25,Sweden,61,GK
N. Mason,21,England,64,RB
A. Losilla,32,France,73,RDM
C. Trejo,18,Mexico,58,ST
A. Bassi,20,Morocco,68,CAM
E. Seka,31,Guinea,70,LCB
Y. Mbombo,24,Belgium,63,ST
M. Yanga-Mbiwa,29,France,73,CB
